(1, '', 2)
(2, 1, 3)
(3, 2, '')
(4, '', 5)
(5, 4, 6)
(6, 5, '')
(7, '', 8)
(8, 7, 9)
(9, 8, '')
(10, '', 11)
(11, 10, 12)
(12, 11, '')
(13, '', 14)
(14, 13, 15)
(15, 14, '')
(16, '', 17)
(17, 16, 18)
(18, 17, '')
(19, '', 20)
(20, 19, '')
(21, '', 22)
(22, 21, '')
(23, '', 24)
(24, 23, '')
(25, '', 26)
(26, 25, '')
(27, '', 28)
(28, 27, '')
(29, '', 30)
(30, 29, 31)
(31, 30, '')
(32, '', 33)
(33, 32, 34)
(34, 33, '')
(35, '', 36)
(36, 35, '')
(37, '', 38)
(38, 37, '')
(39, '', 40)
(40, 39, '')
(41, '', 42)
(42, 41, '')
(43, '', 44)
(44, 43, 45)
(45, 44, '')
(46, '', 47)
(47, 46, '')
(48, '', 49)
(49, 48, '')
(50, '', 51)
(51, 50, '')
(52, '', 53)
(53, 52, '')
(54, '', 55)
(55, 54, '')
(56, '', 57)
(57, 56, '')
(58, '', 59)
(59, 58, '')
(60, '', 61)
(61, 60, 62)
(62, 61, '')
(63, '', 64)
(64, 63, 65)
(65, 64, '')
(66, '', 67)
(67, 66, 68)
(68, 67, '')
(69, '', 70)
(70, 69, 71)
(71, 70, '')
(72, '', 73)
(73, 72, '')
(74, '', 75)
(75, 74, 76)
(76, 75, '')
(77, '', 78)
(78, 77, '')
(79, '', 80)
(80, 79, '')
(81, '', 82)
(82, 81, '')
(83, '', '')
(84, '', 85)
(85, 84, '')
(86, '', 87)
(87, 86, '')
(88, '', 89)
(89, 88, '')
(90, '', 91)
(91, 90, '')
(92, '', 93)
(93, 92, 94)
(94, 93, '')
(95, '', '')
(96, '', 97)
(97, 96, '')
(98, '', 99)
(99, 98, '')
(100, '', 101)
(101, 100, '')
(102, '', 103)
(103, 102, '')
(104, '', 105)
(105, 104, '')
(106, '', '')
(107, '', '')
(108, '', '')
(109, '', 110)
(110, 109, '')
(111, '', 112)
(112, 111, '')
(113, '', '')
(114, '', '')
(115, '', '')
(116, '', 117)
(117, 116, '')
(118, '', 119)
(119, 118, '')
(120, '', 121)
(121, 120, '')
(122, '', '')
(123, '', '')
(124, '', '')
(125, '', '')
(126, '', '')
(127, '', '')
(128, '', '')
(129, '', 130)
(130, 129, '')
(131, '', '')
(132, '', '')
(133, '', 134)
(133, '', 135)
(133, '', 136)
(134, 133, '')
(135, 133, '')
(136, 133, '')
(137, '', '')
(138, '', 139)
(139, 138, '')
(140, '', 141)
(141, 140, '')
(142, '', '')
(143, '', '')
(144, '', '')
(145, '', '')
(146, '', '')
(147, '', 148)
(148, 147, 149)
(149, 148, '')
(150, '', '')
(151, '', '')
